"id","date","header","description","title","link"
"1","2017/04","Перевір податковий борг","Розмір податкового боргу суб’єктів господарювання різних форм власності","Як перевірити податковий борг партнера","http://cost.ua/special/dbregister/index.html"
"2","2017/01","Маленькі постачальники","Історія про особливості фінансових стосунків державних підприємств і ФОП-ів","Великі замовники і маленькі постачальники","http://cost.ua/special/fopdp/"
"3","2017/06","Тягар податкового боргу","7% діючих підприємств в Україні мають податковий борг більше 1 тис. гривень","Податковий борг: погасити не можна списати","http://cost.ua/special/taxdebt/index.html"
"4","2016/06","Бідність. Що робити?","Порівняльний аналіз бюджетних витрати в Україні і Європі","Перегнати Болгарію і стати Польщею","http://texty.org.ua/d/wldmr/budget/"
"5","2017/07","Злочинність по регіонах","Як змінився рівень злочинності в Україні за останні 20 років","Дослідження злочинності в Україні","http://texty.org.ua/pg/news/textynewseditor/read/78094/Jak_zminujetsa_riven_zlochynnosti_v_Ukrajini_za"
"6","2015/11","Зима близько","Вугілля, яке потрібне українським ТЕС, видобувають на окупованих територіях ","Зима близько: де взяти енергоносії?","http://texty.org.ua/pg/article/editorial/read/63397/De_vzaty_jelektrojenergiju_Vugilla_jake_potribne_polovyni"
"7","2015/07","Загрози для здоров'я","Українці стали більше помирати від ожиріння","Загрози для здоров'я нації","http://texty.org.ua/pg/article/An-21/read/60872/Najbilshi_zagrozy_dla_zdorovja_ozhyrinna_tysk_alkogolizm"
"8","2015/11","Імпортер і Митник","Як митниця збільшує тиск на імпортерів ","Митниця збільшує тиск на імпортерів","http://texty.org.ua/pg/article/An-21/read/62965/Mytnyca_zbilshuje_tysk_na_importeriv_INFOGRAFIKA?a_srt=&a_offset=2226"
"9","2015/05","Остарбайтери з України","Українці на примусових роботах в III Рейху","Остарбайтери з України","https://uadata.blogspot.com/2015/05/blog-post_10.html"
"10","2016/01","Бюджет-2016","Найбільше тратимо на пенсіонерів, а економимо на освіті і медицині","Дослідження видатків  бюджету","http://texty.org.ua/pg/article/editorial/read/64634/Budzhet_2016_najbilshe_tratymo_na_pensioneriv_jekonomymo"
"11","2016/02","Епідсезон 2015-2016","Нинішня епідемія грипу майже на рівні панічного 2010 року, але українці у це не вірять","Епідемія паніки або Такий непомітний грип","http://texty.org.ua/pg/article/editorial/read/65517/Nynishna_jepidemija_grypu_majzhe_na_rivni_panichnogo?a_srt=&a_offset=322"
"13","2015/10","Торгівля під ""Градами""","Від початку бойових дій частка російського імпорту в Україну скоротилась лише на 10%","Торгівля під ""Градами""","http://texty.org.ua/pg/article/An-21/read/62484/Chastka_rosijskogo_importu_v_Ukrajinu_skorotylasa_na"
"15","2015/04","Міграція в Європі","Куди переїжджають європейці і чи залежить міграція від економічних показників країни","Велике європейське переселення ","https://uadata.blogspot.com/2015/04/blog-post_26.html"
"16","2015/08","Вулиці Запоріжжя"," Інтерактивна карта вулиць із українськими та радянськими назвами","Кого шанує Запоріжжя?","https://uadata.blogspot.com/2015/08/blog-post.html"
"17","2015/03","Результати ЗНО-2014","Як обрати найкращий навчальний заклад для своєї дитини в Запоріжжі?","Рейтинг шкіл Запоріжжя","https://uadata.blogspot.com/2015/03/blog-post_24.html"
"18","2015/06","Торгівля Запорізької області","Інтерактивний огляд зовнішньої торгівлі Запорізької області у 2014 році","Зовнішня торгівля Запоріжжя","http://e-tpp.org/2016/04/24/interaktyvnyj-oglyad-zovnishnoyi-torgivli-oblasti/"
"19","2016/07","Експерт ТПП v1.0","Перша комп'ютерна гра про товарознавчу експертизу","Перша комп'ютерна гра про експертизу","http://e-tpp.org/2016/07/27/persha-komp-yuterna-gra-pro-ekspertyzu/"
"20","2015/09","Україна - Іран","Огляд торгових відносин","Україна - Іран: огляд торгівлі","http://e-tpp.org/2015/08/06/ukrayina-iran-torgovi-vidnosyny/"
"21","2014/01","Україна - Китай","Китайське прислів'я: ""Одну торгівлю ведуть двояко""","Україна - Китай: огляд торгівлі","pdf/21.pdf"
"22","2013/08","Україна - Німеччина","Київ не може обійтись без німецьких авто, ліків і кави, і готовий платити кукурудзою ","Україна - Німеччина: огляд торгівлі","pdf/22.pdf"
"23","2013/11","Україна - Литва","Членство в ЄС не завадило Литві зберегти вигідні торгові відносини із Росією","Україна - Литва: огляд торгівлі","pdf/23.pdf"
"24","2013/06","Україна - Канада","Україна для Канади - особливий партнер","Україна - Канада: огляд торгівлі","pdf/24.pdf"
"25","2013/05","Україна - Ізраїль","Чи стане для України своїм ізраїльський ринок?","Україна - Ізраїль: огляд торгівлі","pdf/25.pdf"
"26","2013/09","Україна - ПАР","""БРЮКИ"" для України на південноафриканській манер","Україна - ПАР: огляд торгівлі","pdf/26.pdf"
"27","2013/05","Україна - Фінляндія","Посткризова історія взаємостосунків","Україна - Фінляндія: огляд торгівлі","pdf/27.pdf"
"28","2014/05","Україна - Швеція","Родом зі Стокгольму: hi-tech в музиці і торгівлі","Україна - Швеція: огляд торгівлі","pdf/28.pdf"
"29","2013/10","Україна - Італія","Італійська ""свиня"" українській не товариш","Україна - Італія: огляд торгівлі","pdf/29.pdf"
"30","2013/02","Україна - Франція","Футбольні баталії і торгові реалії","Україна - Франція: огляд торгівлі","pdf/30.pdf"
"31","2017/10","Три роки особливого режиму","Що змінилося в торгівлі України з ЄС за 2013-2016 рр.?","Три роки особливого режиму","http://texty.org.ua/d/eutrade/"
"32","2015/12","Україна не годує Росію","Продуктове ембарго не змінить географію експорту з України товарів АПК","Торгове ембарго на товари АПК","https://public.tableau.com/profile/woldemarg#!/vizhome/export_food_final/Dashboard1"
"33","2011/10","Україна - Бразилія","Інформаційний бюлетень","Україна - Бразилія: огляд торгівлі","pdf/33.pdf"
"34","2010/09","Україна - Аргентина","Інформаційний бюлетень","Україна - Аргентина: огляд торгівлі","pdf/34.pdf"
"35","2019/06","Українці будуть бідними, поки самі не захочуть цього змінити","Незадоволеність матеріальним станом перешкоджає зростанню економіки","Будемо бідними, поки не змінимось","https://uadata.blogspot.com/2019/06/blog-post.html#more"
"36","2009/10","Фондові кризи","Періодичні кризи на фондових ринках з точки зору гіпотез EMH та FMH","Ефективний і фрактальний ринки цінних паперів","pdf/36.pdf"
"37","2009/04","Циклічні індикатори","Показники фондового ринку в системі циклічних індикаторів","Фондовий ринок і економічні цикли","pdf/37.pdf"
"38","2010/04","Аналіз часових рядів","Фазовий аналіз макроекономічних часових рядів","Макроекономічні часові ряди","pdf/38.pdf"
"39","2010/04","Зв'язки макроекономічних показників","Нетрадиційні підходи до вимірювання зв'язків макроекономічних показників","Вимірювання зв'язків між макроекономічними показниками","pdf/39.pdf"
"40","2011/07","Дистанційний консалтинг","Оранізація он-лайн консультування суб'єктів малого бізнесу","Он-лайн консалтинг для МСБ","pdf/39.pdf"



 
